id,target_type,target_name,check_type,sql_or_command,expected_result,severity
373,table_or_view,public.conversation_participants,table_exists,SELECT to_regclass('public.conversation_participants') IS NOT NULL AS exists;,conversation_participants should exist in public schema,P0
374,table_or_view,public.conversation_participants,column_contract,CHECK OPENAPI definition for conversation_participants has expected required columns and types.,column_contract should pass for conversation_participants,P0
375,table_or_view,public.conversation_participants,primary_key_presence,Heuristic/targeted check on conversation_participants: primary_key_presence,primary_key_presence should pass for conversation_participants,P0
376,table_or_view,public.conversation_participants,foreign_key_integrity,Run orphan check queries for each FK on conversation_participants.,foreign_key_integrity should pass for conversation_participants,P0
377,table_or_view,public.conversation_participants,orphan_row_check,SELECT * FROM public.conversation_participants LIMIT 1; then run LEFT JOIN orphan probes.,orphan_row_check should pass for conversation_participants,P1
378,table_or_view,public.conversation_participants,index_presence_fk,Verify indexes for FK columns on conversation_participants from migration metadata.,index_presence_fk should pass for conversation_participants,P1
379,table_or_view,public.conversation_participants,index_usage_baseline,Heuristic/targeted check on conversation_participants: index_usage_baseline,index_usage_baseline should pass for conversation_participants,P2
380,table_or_view,public.conversation_participants,unique_constraint_check,Heuristic/targeted check on conversation_participants: unique_constraint_check,unique_constraint_check should pass for conversation_participants,P1
381,table_or_view,public.conversation_participants,not_null_required_fields,Heuristic/targeted check on conversation_participants: not_null_required_fields,not_null_required_fields should pass for conversation_participants,P1
382,table_or_view,public.conversation_participants,default_values_sanity,Heuristic/targeted check on conversation_participants: default_values_sanity,default_values_sanity should pass for conversation_participants,P2
383,table_or_view,public.conversation_participants,rls_enabled,Verify conversation_participants has RLS enabled in policy inventory/migrations.,conversation_participants should have RLS explicitly configured as intended,P0
384,table_or_view,public.conversation_participants,rls_select_owner_scope,Heuristic/targeted check on conversation_participants: rls_select_owner_scope,rls_select_owner_scope should pass for conversation_participants,P0
385,table_or_view,public.conversation_participants,rls_insert_owner_scope,Heuristic/targeted check on conversation_participants: rls_insert_owner_scope,rls_insert_owner_scope should pass for conversation_participants,P0
386,table_or_view,public.conversation_participants,rls_update_owner_scope,Heuristic/targeted check on conversation_participants: rls_update_owner_scope,rls_update_owner_scope should pass for conversation_participants,P0
387,table_or_view,public.conversation_participants,rls_delete_owner_scope,Heuristic/targeted check on conversation_participants: rls_delete_owner_scope,rls_delete_owner_scope should pass for conversation_participants,P1
388,table_or_view,public.conversation_participants,rls_admin_bypass_expected,Heuristic/targeted check on conversation_participants: rls_admin_bypass_expected,rls_admin_bypass_expected should pass for conversation_participants,P1
389,table_or_view,public.conversation_participants,rls_recursion_risk_scan,Heuristic/targeted check on conversation_participants: rls_recursion_risk_scan,rls_recursion_risk_scan should pass for conversation_participants,P0
390,table_or_view,public.conversation_participants,api_select_endpoint_ok,GET /rest/v1/conversation_participants?select=*&limit=1 with role JWT.,api_select_endpoint_ok should pass for conversation_participants,P1
391,table_or_view,public.conversation_participants,api_insert_endpoint_ok,POST /rest/v1/conversation_participants (sandbox payload) and expect policy-appropriate result.,api_insert_endpoint_ok should pass for conversation_participants,P1
392,table_or_view,public.conversation_participants,api_update_endpoint_ok,Heuristic/targeted check on conversation_participants: api_update_endpoint_ok,api_update_endpoint_ok should pass for conversation_participants,P1
393,table_or_view,public.conversation_participants,api_delete_endpoint_guarded,Heuristic/targeted check on conversation_participants: api_delete_endpoint_guarded,api_delete_endpoint_guarded should pass for conversation_participants,P1
394,table_or_view,public.conversation_participants,api_payload_shape_validation,Heuristic/targeted check on conversation_participants: api_payload_shape_validation,api_payload_shape_validation should pass for conversation_participants,P1
395,table_or_view,public.conversation_participants,ui_widget_source_mapping,Heuristic/targeted check on conversation_participants: ui_widget_source_mapping,ui_widget_source_mapping should pass for conversation_participants,P1
396,table_or_view,public.conversation_participants,ui_widget_empty_state_sanity,Heuristic/targeted check on conversation_participants: ui_widget_empty_state_sanity,ui_widget_empty_state_sanity should pass for conversation_participants,P2
397,table_or_view,public.conversation_participants,dashboard_role_visibility,Heuristic/targeted check on conversation_participants: dashboard_role_visibility,dashboard_role_visibility should pass for conversation_participants,P0
398,table_or_view,public.conversation_participants,dashboard_cross_role_data_leak,Heuristic/targeted check on conversation_participants: dashboard_cross_role_data_leak,dashboard_cross_role_data_leak should pass for conversation_participants,P0
399,table_or_view,public.conversation_participants,pagination_support,Heuristic/targeted check on conversation_participants: pagination_support,pagination_support should pass for conversation_participants,P2
400,table_or_view,public.conversation_participants,sorting_support,Heuristic/targeted check on conversation_participants: sorting_support,sorting_support should pass for conversation_participants,P2
401,table_or_view,public.conversation_participants,filtering_support,Heuristic/targeted check on conversation_participants: filtering_support,filtering_support should pass for conversation_participants,P2
402,table_or_view,public.conversation_participants,count_query_support,Heuristic/targeted check on conversation_participants: count_query_support,count_query_support should pass for conversation_participants,P2
403,table_or_view,public.conversation_participants,data_freshness_timestamp,Heuristic/targeted check on conversation_participants: data_freshness_timestamp,data_freshness_timestamp should pass for conversation_participants,P2
404,table_or_view,public.conversation_participants,created_at_presence,Heuristic/targeted check on conversation_participants: created_at_presence,created_at_presence should pass for conversation_participants,P1
405,table_or_view,public.conversation_participants,updated_at_presence,Heuristic/targeted check on conversation_participants: updated_at_presence,updated_at_presence should pass for conversation_participants,P1
406,table_or_view,public.conversation_participants,timezone_consistency,Heuristic/targeted check on conversation_participants: timezone_consistency,timezone_consistency should pass for conversation_participants,P2
407,table_or_view,public.conversation_participants,currency_precision_numeric,Heuristic/targeted check on conversation_participants: currency_precision_numeric,currency_precision_numeric should pass for conversation_participants,P1
408,table_or_view,public.conversation_participants,negative_amount_guard,Heuristic/targeted check on conversation_participants: negative_amount_guard,negative_amount_guard should pass for conversation_participants,P1
409,table_or_view,public.conversation_participants,status_enum_validity,Heuristic/targeted check on conversation_participants: status_enum_validity,status_enum_validity should pass for conversation_participants,P1
410,table_or_view,public.conversation_participants,null_rate_critical_fields,Heuristic/targeted check on conversation_participants: null_rate_critical_fields,null_rate_critical_fields should pass for conversation_participants,P2
411,table_or_view,public.conversation_participants,duplicate_business_key_scan,Heuristic/targeted check on conversation_participants: duplicate_business_key_scan,duplicate_business_key_scan should pass for conversation_participants,P1
412,table_or_view,public.conversation_participants,sensitive_data_exposure_scan,Heuristic/targeted check on conversation_participants: sensitive_data_exposure_scan,sensitive_data_exposure_scan should pass for conversation_participants,P0
413,table_or_view,public.conversation_participants,audit_log_coverage,Heuristic/targeted check on conversation_participants: audit_log_coverage,audit_log_coverage should pass for conversation_participants,P1
414,table_or_view,public.conversation_participants,trigger_presence_expected,Heuristic/targeted check on conversation_participants: trigger_presence_expected,trigger_presence_expected should pass for conversation_participants,P1
415,table_or_view,public.conversation_participants,trigger_side_effect_sanity,Heuristic/targeted check on conversation_participants: trigger_side_effect_sanity,trigger_side_effect_sanity should pass for conversation_participants,P1
416,table_or_view,public.conversation_participants,function_dependency_validity,Heuristic/targeted check on conversation_participants: function_dependency_validity,function_dependency_validity should pass for conversation_participants,P1
417,table_or_view,public.conversation_participants,migration_history_alignment,Heuristic/targeted check on conversation_participants: migration_history_alignment,migration_history_alignment should pass for conversation_participants,P1
418,table_or_view,public.conversation_participants,backup_readiness_signal,Heuristic/targeted check on conversation_participants: backup_readiness_signal,backup_readiness_signal should pass for conversation_participants,P2
419,table_or_view,public.conversation_participants,restore_simulation_plan,Heuristic/targeted check on conversation_participants: restore_simulation_plan,restore_simulation_plan should pass for conversation_participants,P2
420,table_or_view,public.conversation_participants,webhook_idempotency_key,Verify unique provider reference index for conversation_participants where applicable.,webhook_idempotency_key should pass for conversation_participants,P0
421,table_or_view,public.conversation_participants,webhook_signature_verification,Heuristic/targeted check on conversation_participants: webhook_signature_verification,webhook_signature_verification should pass for conversation_participants,P0
422,table_or_view,public.conversation_participants,webhook_replay_no_duplicate_effect,Heuristic/targeted check on conversation_participants: webhook_replay_no_duplicate_effect,webhook_replay_no_duplicate_effect should pass for conversation_participants,P0
423,table_or_view,public.conversation_participants,provider_reference_uniqueness,Heuristic/targeted check on conversation_participants: provider_reference_uniqueness,provider_reference_uniqueness should pass for conversation_participants,P0
424,table_or_view,public.conversation_participants,payment_state_machine_validity,Heuristic/targeted check on conversation_participants: payment_state_machine_validity,payment_state_machine_validity should pass for conversation_participants,P0
425,table_or_view,public.conversation_participants,commission_calculation_consistency,Heuristic/targeted check on conversation_participants: commission_calculation_consistency,commission_calculation_consistency should pass for conversation_participants,P1
426,table_or_view,public.conversation_participants,payout_state_machine_validity,Heuristic/targeted check on conversation_participants: payout_state_machine_validity,payout_state_machine_validity should pass for conversation_participants,P1
427,table_or_view,public.conversation_participants,invoice_delivery_pipeline,Heuristic/targeted check on conversation_participants: invoice_delivery_pipeline,invoice_delivery_pipeline should pass for conversation_participants,P1
428,table_or_view,public.conversation_participants,notification_insert_compatibility,Heuristic/targeted check on conversation_participants: notification_insert_compatibility,notification_insert_compatibility should pass for conversation_participants,P1
429,table_or_view,public.conversation_participants,realtime_channel_mapping,Heuristic/targeted check on conversation_participants: realtime_channel_mapping,realtime_channel_mapping should pass for conversation_participants,P2
430,table_or_view,public.conversation_participants,storage_acl_scope,Heuristic/targeted check on conversation_participants: storage_acl_scope,storage_acl_scope should pass for conversation_participants,P1
431,table_or_view,public.conversation_participants,avatar_upload_constraints,Heuristic/targeted check on conversation_participants: avatar_upload_constraints,avatar_upload_constraints should pass for conversation_participants,P2
432,table_or_view,public.conversation_participants,google_avatar_sync,Heuristic/targeted check on conversation_participants: google_avatar_sync,google_avatar_sync should pass for conversation_participants,P2
433,table_or_view,public.conversation_participants,oauth_role_routing,Heuristic/targeted check on conversation_participants: oauth_role_routing,oauth_role_routing should pass for conversation_participants,P0
434,table_or_view,public.conversation_participants,password_login_role_routing,Heuristic/targeted check on conversation_participants: password_login_role_routing,password_login_role_routing should pass for conversation_participants,P0
435,table_or_view,public.conversation_participants,session_expiry_recovery,Heuristic/targeted check on conversation_participants: session_expiry_recovery,session_expiry_recovery should pass for conversation_participants,P1
436,table_or_view,public.conversation_participants,failed_fetch_error_surface,Heuristic/targeted check on conversation_participants: failed_fetch_error_surface,failed_fetch_error_surface should pass for conversation_participants,P1
437,table_or_view,public.conversation_participants,mobile_layout_data_endpoint_stability,Heuristic/targeted check on conversation_participants: mobile_layout_data_endpoint_stability,mobile_layout_data_endpoint_stability should pass for conversation_participants,P2
438,table_or_view,public.conversation_participants,csv_export_source_integrity,Heuristic/targeted check on conversation_participants: csv_export_source_integrity,csv_export_source_integrity should pass for conversation_participants,P2
439,table_or_view,public.conversation_participants,search_query_performance_baseline,Heuristic/targeted check on conversation_participants: search_query_performance_baseline,search_query_performance_baseline should pass for conversation_participants,P2
440,table_or_view,public.conversation_participants,n_plus_one_query_risk,Heuristic/targeted check on conversation_participants: n_plus_one_query_risk,n_plus_one_query_risk should pass for conversation_participants,P2
441,table_or_view,public.conversation_participants,deadlock_risk_heuristic,Heuristic/targeted check on conversation_participants: deadlock_risk_heuristic,deadlock_risk_heuristic should pass for conversation_participants,P2
442,table_or_view,public.conversation_participants,race_condition_risk_heuristic,Heuristic/targeted check on conversation_participants: race_condition_risk_heuristic,race_condition_risk_heuristic should pass for conversation_participants,P1
443,table_or_view,public.conversation_participants,transaction_atomicity_required_paths,Heuristic/targeted check on conversation_participants: transaction_atomicity_required_paths,transaction_atomicity_required_paths should pass for conversation_participants,P0
444,table_or_view,public.conversation_participants,service_role_leak_scan,Heuristic/targeted check on conversation_participants: service_role_leak_scan,service_role_leak_scan should pass for conversation_participants,P0
445,table_or_view,public.conversation_participants,anon_role_capability_boundary,Heuristic/targeted check on conversation_participants: anon_role_capability_boundary,anon_role_capability_boundary should pass for conversation_participants,P0
446,table_or_view,public.conversation_participants,admin_godmode_boundary,Heuristic/targeted check on conversation_participants: admin_godmode_boundary,admin_godmode_boundary should pass for conversation_participants,P1
447,table_or_view,public.conversation_participants,soft_delete_behavior_check,Heuristic/targeted check on conversation_participants: soft_delete_behavior_check,soft_delete_behavior_check should pass for conversation_participants,P2
448,table_or_view,public.conversation_participants,hard_delete_guardrails,Heuristic/targeted check on conversation_participants: hard_delete_guardrails,hard_delete_guardrails should pass for conversation_participants,P1
449,table_or_view,public.conversation_participants,topup_pending_to_success_transition,Heuristic/targeted check on conversation_participants: topup_pending_to_success_transition,topup_pending_to_success_transition should pass for conversation_participants,P0
450,table_or_view,public.conversation_participants,invoice_pending_to_paid_transition,Heuristic/targeted check on conversation_participants: invoice_pending_to_paid_transition,invoice_pending_to_paid_transition should pass for conversation_participants,P0
451,table_or_view,public.conversation_participants,commission_post_payment_trigger,Heuristic/targeted check on conversation_participants: commission_post_payment_trigger,commission_post_payment_trigger should pass for conversation_participants,P1
452,table_or_view,public.conversation_participants,billing_dashboard_reflection,Heuristic/targeted check on conversation_participants: billing_dashboard_reflection,billing_dashboard_reflection should pass for conversation_participants,P1
453,table_or_view,public.conversation_participants,notifications_dashboard_reflection,Heuristic/targeted check on conversation_participants: notifications_dashboard_reflection,notifications_dashboard_reflection should pass for conversation_participants,P1
454,table_or_view,public.conversation_participants,data_persistence_after_refresh,Heuristic/targeted check on conversation_participants: data_persistence_after_refresh,data_persistence_after_refresh should pass for conversation_participants,P0
455,table_or_view,public.conversation_participants,schema_cache_mismatch_scan,Heuristic/targeted check on conversation_participants: schema_cache_mismatch_scan,schema_cache_mismatch_scan should pass for conversation_participants,P0
456,table_or_view,public.conversation_participants,compat_columns_fallback_scan,Heuristic/targeted check on conversation_participants: compat_columns_fallback_scan,compat_columns_fallback_scan should pass for conversation_participants,P1
457,table_or_view,public.conversation_participants,legacy_table_compat_view_check,Heuristic/targeted check on conversation_participants: legacy_table_compat_view_check,legacy_table_compat_view_check should pass for conversation_participants,P2
458,table_or_view,public.conversation_participants,check_constraint_enforcement,Heuristic/targeted check on conversation_participants: check_constraint_enforcement,check_constraint_enforcement should pass for conversation_participants,P1
459,table_or_view,public.conversation_participants,enum_value_drift_scan,Heuristic/targeted check on conversation_participants: enum_value_drift_scan,enum_value_drift_scan should pass for conversation_participants,P1
460,table_or_view,public.conversation_participants,project_assignment_integrity,Heuristic/targeted check on conversation_participants: project_assignment_integrity,project_assignment_integrity should pass for conversation_participants,P1
461,table_or_view,public.conversation_participants,milestone_release_integrity,Heuristic/targeted check on conversation_participants: milestone_release_integrity,milestone_release_integrity should pass for conversation_participants,P1
462,table_or_view,public.conversation_participants,financial_ledger_consistency,Heuristic/targeted check on conversation_participants: financial_ledger_consistency,financial_ledger_consistency should pass for conversation_participants,P0
463,table_or_view,public.conversation_participants,wallet_balance_reconciliation,Heuristic/targeted check on conversation_participants: wallet_balance_reconciliation,wallet_balance_reconciliation should pass for conversation_participants,P1
464,table_or_view,public.conversation_participants,openapi_endpoint_contract,Heuristic/targeted check on conversation_participants: openapi_endpoint_contract,openapi_endpoint_contract should pass for conversation_participants,P2
465,table_or_view,public.conversation_participants,edge_function_auth_mode,Heuristic/targeted check on conversation_participants: edge_function_auth_mode,edge_function_auth_mode should pass for conversation_participants,P1
466,table_or_view,public.conversation_participants,edge_function_cors_mode,Heuristic/targeted check on conversation_participants: edge_function_cors_mode,edge_function_cors_mode should pass for conversation_participants,P2
467,table_or_view,public.conversation_participants,edge_function_error_shape,Heuristic/targeted check on conversation_participants: edge_function_error_shape,edge_function_error_shape should pass for conversation_participants,P2
468,table_or_view,public.conversation_participants,email_provider_sendability,Heuristic/targeted check on conversation_participants: email_provider_sendability,email_provider_sendability should pass for conversation_participants,P1
469,table_or_view,public.conversation_participants,email_provider_domain_verification_required,Heuristic/targeted check on conversation_participants: email_provider_domain_verification_required,email_provider_domain_verification_required should pass for conversation_participants,P2
470,table_or_view,public.conversation_participants,paystack_init_payload_validity,Heuristic/targeted check on conversation_participants: paystack_init_payload_validity,paystack_init_payload_validity should pass for conversation_participants,P1
471,table_or_view,public.conversation_participants,paystack_webhook_payload_validity,Heuristic/targeted check on conversation_participants: paystack_webhook_payload_validity,paystack_webhook_payload_validity should pass for conversation_participants,P1
472,table_or_view,public.conversation_participants,resend_payload_validity,Heuristic/targeted check on conversation_participants: resend_payload_validity,resend_payload_validity should pass for conversation_participants,P2
473,table_or_view,public.conversation_participants,oauth_redirect_url_alignment,Heuristic/targeted check on conversation_participants: oauth_redirect_url_alignment,oauth_redirect_url_alignment should pass for conversation_participants,P1
474,table_or_view,public.conversation_participants,localhost_origin_alignment,Heuristic/targeted check on conversation_participants: localhost_origin_alignment,localhost_origin_alignment should pass for conversation_participants,P2
475,table_or_view,public.conversation_participants,vercel_env_placeholder_compliance,Heuristic/targeted check on conversation_participants: vercel_env_placeholder_compliance,vercel_env_placeholder_compliance should pass for conversation_participants,P2
476,table_or_view,public.conversation_participants,demo_data_absence_check,Heuristic/targeted check on conversation_participants: demo_data_absence_check,demo_data_absence_check should pass for conversation_participants,P2
477,table_or_view,public.conversation_participants,seed_script_safety_check,Heuristic/targeted check on conversation_participants: seed_script_safety_check,seed_script_safety_check should pass for conversation_participants,P2
478,table_or_view,public.conversation_participants,sql_injection_surface_scan,Heuristic/targeted check on conversation_participants: sql_injection_surface_scan,sql_injection_surface_scan should pass for conversation_participants,P0
479,table_or_view,public.conversation_participants,xss_surface_scan,Heuristic/targeted check on conversation_participants: xss_surface_scan,xss_surface_scan should pass for conversation_participants,P1
480,table_or_view,public.conversation_participants,csrf_relevance_assessment,Heuristic/targeted check on conversation_participants: csrf_relevance_assessment,csrf_relevance_assessment should pass for conversation_participants,P2
481,table_or_view,public.conversation_participants,rate_limit_presence,Heuristic/targeted check on conversation_participants: rate_limit_presence,rate_limit_presence should pass for conversation_participants,P2
482,table_or_view,public.conversation_participants,abuse_protection_presence,Heuristic/targeted check on conversation_participants: abuse_protection_presence,abuse_protection_presence should pass for conversation_participants,P2
483,table_or_view,public.conversation_participants,log_noise_vs_signal_check,Heuristic/targeted check on conversation_participants: log_noise_vs_signal_check,log_noise_vs_signal_check should pass for conversation_participants,P2
484,table_or_view,public.conversation_participants,p0_error_log_absence,Heuristic/targeted check on conversation_participants: p0_error_log_absence,p0_error_log_absence should pass for conversation_participants,P1
485,table_or_view,public.conversation_participants,table_growth_risk_signal,Heuristic/targeted check on conversation_participants: table_growth_risk_signal,table_growth_risk_signal should pass for conversation_participants,P2
486,table_or_view,public.conversation_participants,retention_policy_defined,Heuristic/targeted check on conversation_participants: retention_policy_defined,retention_policy_defined should pass for conversation_participants,P2
487,table_or_view,public.conversation_participants,anomaly_detection_signal,Heuristic/targeted check on conversation_participants: anomaly_detection_signal,anomaly_detection_signal should pass for conversation_participants,P2
488,table_or_view,public.conversation_participants,tenant_isolation_signal,Heuristic/targeted check on conversation_participants: tenant_isolation_signal,tenant_isolation_signal should pass for conversation_participants,P0
489,table_or_view,public.conversation_participants,cross_dashboard_data_join_validity,Heuristic/targeted check on conversation_participants: cross_dashboard_data_join_validity,cross_dashboard_data_join_validity should pass for conversation_participants,P1
490,table_or_view,public.conversation_participants,message_thread_integrity,Heuristic/targeted check on conversation_participants: message_thread_integrity,message_thread_integrity should pass for conversation_participants,P1
491,table_or_view,public.conversation_participants,proposal_lifecycle_integrity,Heuristic/targeted check on conversation_participants: proposal_lifecycle_integrity,proposal_lifecycle_integrity should pass for conversation_participants,P1
492,table_or_view,public.conversation_participants,project_status_transition_graph,Heuristic/targeted check on conversation_participants: project_status_transition_graph,project_status_transition_graph should pass for conversation_participants,P1
493,table_or_view,public.conversation_participants,invoice_status_transition_graph,Heuristic/targeted check on conversation_participants: invoice_status_transition_graph,invoice_status_transition_graph should pass for conversation_participants,P1
494,table_or_view,public.conversation_participants,notification_read_unread_transition,Heuristic/targeted check on conversation_participants: notification_read_unread_transition,notification_read_unread_transition should pass for conversation_participants,P2
495,table_or_view,public.conversation_participants,avatar_url_validity_sanity,Heuristic/targeted check on conversation_participants: avatar_url_validity_sanity,avatar_url_validity_sanity should pass for conversation_participants,P2
496,table_or_view,public.conversation_participants,storage_signed_url_policy,Heuristic/targeted check on conversation_participants: storage_signed_url_policy,storage_signed_url_policy should pass for conversation_participants,P2
497,table_or_view,public.conversations,table_exists,SELECT to_regclass('public.conversations') IS NOT NULL AS exists;,conversations should exist in public schema,P0
498,table_or_view,public.conversations,column_contract,CHECK OPENAPI definition for conversations has expected required columns and types.,column_contract should pass for conversations,P0
499,table_or_view,public.conversations,primary_key_presence,Heuristic/targeted check on conversations: primary_key_presence,primary_key_presence should pass for conversations,P0
500,table_or_view,public.conversations,foreign_key_integrity,Run orphan check queries for each FK on conversations.,foreign_key_integrity should pass for conversations,P0
501,table_or_view,public.conversations,orphan_row_check,SELECT * FROM public.conversations LIMIT 1; then run LEFT JOIN orphan probes.,orphan_row_check should pass for conversations,P1
502,table_or_view,public.conversations,index_presence_fk,Verify indexes for FK columns on conversations from migration metadata.,index_presence_fk should pass for conversations,P1
503,table_or_view,public.conversations,index_usage_baseline,Heuristic/targeted check on conversations: index_usage_baseline,index_usage_baseline should pass for conversations,P2
504,table_or_view,public.conversations,unique_constraint_check,Heuristic/targeted check on conversations: unique_constraint_check,unique_constraint_check should pass for conversations,P1
505,table_or_view,public.conversations,not_null_required_fields,Heuristic/targeted check on conversations: not_null_required_fields,not_null_required_fields should pass for conversations,P1
506,table_or_view,public.conversations,default_values_sanity,Heuristic/targeted check on conversations: default_values_sanity,default_values_sanity should pass for conversations,P2
507,table_or_view,public.conversations,rls_enabled,Verify conversations has RLS enabled in policy inventory/migrations.,conversations should have RLS explicitly configured as intended,P0
508,table_or_view,public.conversations,rls_select_owner_scope,Heuristic/targeted check on conversations: rls_select_owner_scope,rls_select_owner_scope should pass for conversations,P0
509,table_or_view,public.conversations,rls_insert_owner_scope,Heuristic/targeted check on conversations: rls_insert_owner_scope,rls_insert_owner_scope should pass for conversations,P0
510,table_or_view,public.conversations,rls_update_owner_scope,Heuristic/targeted check on conversations: rls_update_owner_scope,rls_update_owner_scope should pass for conversations,P0
511,table_or_view,public.conversations,rls_delete_owner_scope,Heuristic/targeted check on conversations: rls_delete_owner_scope,rls_delete_owner_scope should pass for conversations,P1
512,table_or_view,public.conversations,rls_admin_bypass_expected,Heuristic/targeted check on conversations: rls_admin_bypass_expected,rls_admin_bypass_expected should pass for conversations,P1
513,table_or_view,public.conversations,rls_recursion_risk_scan,Heuristic/targeted check on conversations: rls_recursion_risk_scan,rls_recursion_risk_scan should pass for conversations,P0
514,table_or_view,public.conversations,api_select_endpoint_ok,GET /rest/v1/conversations?select=*&limit=1 with role JWT.,api_select_endpoint_ok should pass for conversations,P1
515,table_or_view,public.conversations,api_insert_endpoint_ok,POST /rest/v1/conversations (sandbox payload) and expect policy-appropriate result.,api_insert_endpoint_ok should pass for conversations,P1
516,table_or_view,public.conversations,api_update_endpoint_ok,Heuristic/targeted check on conversations: api_update_endpoint_ok,api_update_endpoint_ok should pass for conversations,P1
517,table_or_view,public.conversations,api_delete_endpoint_guarded,Heuristic/targeted check on conversations: api_delete_endpoint_guarded,api_delete_endpoint_guarded should pass for conversations,P1
518,table_or_view,public.conversations,api_payload_shape_validation,Heuristic/targeted check on conversations: api_payload_shape_validation,api_payload_shape_validation should pass for conversations,P1
519,table_or_view,public.conversations,ui_widget_source_mapping,Heuristic/targeted check on conversations: ui_widget_source_mapping,ui_widget_source_mapping should pass for conversations,P1
520,table_or_view,public.conversations,ui_widget_empty_state_sanity,Heuristic/targeted check on conversations: ui_widget_empty_state_sanity,ui_widget_empty_state_sanity should pass for conversations,P2
521,table_or_view,public.conversations,dashboard_role_visibility,Heuristic/targeted check on conversations: dashboard_role_visibility,dashboard_role_visibility should pass for conversations,P0
522,table_or_view,public.conversations,dashboard_cross_role_data_leak,Heuristic/targeted check on conversations: dashboard_cross_role_data_leak,dashboard_cross_role_data_leak should pass for conversations,P0
523,table_or_view,public.conversations,pagination_support,Heuristic/targeted check on conversations: pagination_support,pagination_support should pass for conversations,P2
524,table_or_view,public.conversations,sorting_support,Heuristic/targeted check on conversations: sorting_support,sorting_support should pass for conversations,P2
525,table_or_view,public.conversations,filtering_support,Heuristic/targeted check on conversations: filtering_support,filtering_support should pass for conversations,P2
526,table_or_view,public.conversations,count_query_support,Heuristic/targeted check on conversations: count_query_support,count_query_support should pass for conversations,P2
527,table_or_view,public.conversations,data_freshness_timestamp,Heuristic/targeted check on conversations: data_freshness_timestamp,data_freshness_timestamp should pass for conversations,P2
528,table_or_view,public.conversations,created_at_presence,Heuristic/targeted check on conversations: created_at_presence,created_at_presence should pass for conversations,P1
529,table_or_view,public.conversations,updated_at_presence,Heuristic/targeted check on conversations: updated_at_presence,updated_at_presence should pass for conversations,P1
530,table_or_view,public.conversations,timezone_consistency,Heuristic/targeted check on conversations: timezone_consistency,timezone_consistency should pass for conversations,P2
531,table_or_view,public.conversations,currency_precision_numeric,Heuristic/targeted check on conversations: currency_precision_numeric,currency_precision_numeric should pass for conversations,P1
532,table_or_view,public.conversations,negative_amount_guard,Heuristic/targeted check on conversations: negative_amount_guard,negative_amount_guard should pass for conversations,P1
533,table_or_view,public.conversations,status_enum_validity,Heuristic/targeted check on conversations: status_enum_validity,status_enum_validity should pass for conversations,P1
534,table_or_view,public.conversations,null_rate_critical_fields,Heuristic/targeted check on conversations: null_rate_critical_fields,null_rate_critical_fields should pass for conversations,P2
535,table_or_view,public.conversations,duplicate_business_key_scan,Heuristic/targeted check on conversations: duplicate_business_key_scan,duplicate_business_key_scan should pass for conversations,P1
536,table_or_view,public.conversations,sensitive_data_exposure_scan,Heuristic/targeted check on conversations: sensitive_data_exposure_scan,sensitive_data_exposure_scan should pass for conversations,P0
537,table_or_view,public.conversations,audit_log_coverage,Heuristic/targeted check on conversations: audit_log_coverage,audit_log_coverage should pass for conversations,P1
538,table_or_view,public.conversations,trigger_presence_expected,Heuristic/targeted check on conversations: trigger_presence_expected,trigger_presence_expected should pass for conversations,P1
539,table_or_view,public.conversations,trigger_side_effect_sanity,Heuristic/targeted check on conversations: trigger_side_effect_sanity,trigger_side_effect_sanity should pass for conversations,P1
540,table_or_view,public.conversations,function_dependency_validity,Heuristic/targeted check on conversations: function_dependency_validity,function_dependency_validity should pass for conversations,P1
541,table_or_view,public.conversations,migration_history_alignment,Heuristic/targeted check on conversations: migration_history_alignment,migration_history_alignment should pass for conversations,P1
542,table_or_view,public.conversations,backup_readiness_signal,Heuristic/targeted check on conversations: backup_readiness_signal,backup_readiness_signal should pass for conversations,P2
543,table_or_view,public.conversations,restore_simulation_plan,Heuristic/targeted check on conversations: restore_simulation_plan,restore_simulation_plan should pass for conversations,P2
544,table_or_view,public.conversations,webhook_idempotency_key,Verify unique provider reference index for conversations where applicable.,webhook_idempotency_key should pass for conversations,P0
545,table_or_view,public.conversations,webhook_signature_verification,Heuristic/targeted check on conversations: webhook_signature_verification,webhook_signature_verification should pass for conversations,P0
546,table_or_view,public.conversations,webhook_replay_no_duplicate_effect,Heuristic/targeted check on conversations: webhook_replay_no_duplicate_effect,webhook_replay_no_duplicate_effect should pass for conversations,P0
547,table_or_view,public.conversations,provider_reference_uniqueness,Heuristic/targeted check on conversations: provider_reference_uniqueness,provider_reference_uniqueness should pass for conversations,P0
548,table_or_view,public.conversations,payment_state_machine_validity,Heuristic/targeted check on conversations: payment_state_machine_validity,payment_state_machine_validity should pass for conversations,P0
549,table_or_view,public.conversations,commission_calculation_consistency,Heuristic/targeted check on conversations: commission_calculation_consistency,commission_calculation_consistency should pass for conversations,P1
550,table_or_view,public.conversations,payout_state_machine_validity,Heuristic/targeted check on conversations: payout_state_machine_validity,payout_state_machine_validity should pass for conversations,P1
551,table_or_view,public.conversations,invoice_delivery_pipeline,Heuristic/targeted check on conversations: invoice_delivery_pipeline,invoice_delivery_pipeline should pass for conversations,P1
